,Game,Viewers (in Millions),Year,id
0,SF-SEA,22.85,2019,0
1,WSH-DAL (74%),21.0,2019,1
2,Various,14.9,2019,2
3,GB-DET (68%),14.43,2019,3
4,Various,12.53,2019,4
0,DAL-PHI (88%),25.32,2019,5
1,KC-CHI,17.03,2019,6
2,NO-TEN (75%),13.78,2019,7
3,GB-MIN,13.57,2019,8
4,BAL-CLE (59%),12.54,2019,9
5,BUF-NE,9.6,2019,10
6,LAR-SF,8.5,2019,11
7,HOU-TB,5.32,2019,12
0,LAR-DAL (87%),23.02,2019,13
1,BUF-PIT,18.14,2019,14
2,HOU-TEN (27%);MIN-LAC (25%),16.77,2019,15
3,CHI-GB (58%),15.87,2019,16
4,NYJ-BAL,12.14,2019,17
5,IND-NO,11.06,2019,18
0,KC-NE (83%),28.11,2019,19
1,DAL-CHI,18.0,2019,20
2,SEA-LAR,17.88,2019,21
3,SF-NO (55%),17.76,2019,22
4,BAL-BUF (68%),12.59,2019,23
5,NYG-PHI,11.36,2019,24
0,BUF-DAL,32.64,2019,25
1,CHI-DET,27.09,2019,26
2,OAK-KC (89%),21.9,2019,27
3,NE-HOU,21.45,2019,28
4,SF-BAL (58%),20.9,2019,29
5,NO-ATL,20.81,2019,30
6,MIN-SEA,14.03,2019,31
7,CLE-PIT (71%),11.88,2019,32
0,DAL-NE,29.47,2019,33
1,GB-SF,20.83,2019,34
2,SEA-PHI (61%),15.38,2019,35
3,CAR-NO (48%);OAK-NYJ (20%),13.52,2019,36
4,IND-HOU,12.92,2019,37
5,BAL-LAR,10.93,2019,38
0,NE-PHI (93%),24.89,2019,39
1,CHI-LAR,16.85,2019,40
2,DAL-DET (51%),16.76,2019,41
3,PIT-CLE,15.4,2019,42
4,HOU-BAL (71%),12.62,2019,43
5,KC-LAC,12.57,2019,44
0,CAR-GB (70%),23.2,2019,45
1,MIN-DAL,22.99,2019,46
2,SEA-SF,15.98,2019,47
3,KC-TEN (51%),14.84,2019,48
4,LAC-OAK,13.52,2019,49
5,ATL-NO (67%),10.53,2019,50
0,GB-LAC (87%),22.29,2019,51
1,NE-BAL,22.03,2019,52
2,MIN-KC (42%);PHI-CHI (19%),18.27,2019,53
3,SF-ARIZ,14.0,2019,54
4,DAL-NYG,13.98,2019,55
5,IND-PIT (70%),11.49,2019,56
6,HOU-JAX,2.96,2019,57
0,CLE-NE (71%),21.03,2019,58
1,GB-KC,18.32,2019,59
2,PHI-BUF (33%);CAR-SF (22%),17.41,2019,60
3,WSH-MIN,13.48,2019,61
4,AZ-NO (39%);DEN-IND (26%),12.1,2019,62
5,MIA-PIT,9.98,2019,63
0,NO-CHI (64%),23.04,2019,64
1,PHI-DAL,21.45,2019,65
2,KC-DEN,13.68,2019,66
3,OAK-GB (49%);LAC-TEN (27%),13.24,2019,67
4,MIN-DET (36%);AZ-NYG (35%),11.88,2019,68
5,NE-NYJ,10.84,2019,69
0,DAL-NYJ (91%),21.42,2019,70
1,PHI-MIN (42%);SF-LAR (23%),16.37,2019,71
2,NYG-NE,16.0,2019,72
3,PIT-LAC,14.89,2019,73
4,DET-GB,13.34,2019,74
5,HOU-KC (72%),13.0,2019,75
6,CAR-TB,3.08,2019,76
0,GB-DAL,24.6,2019,77
1,IND-KC,18.13,2019,78
2,MIN-NYG (35%);CHI-OAK (34%),16.05,2019,79
3,DEN-LAC (29%);BAL-PIT (24%),16.24,2019,80
4,LAR-SEA,14.26,2019,81
5,CLE-SF,11.13,2019,82
0,DAL-NO,24.11,2019,83
1,MIN-CHI (88%),19.8,2019,84
2,PHI-GB,17.62,2019,85
3,KC-DET (38%);TB-LAR (26%),16.48,2019,86
4,NE-BUF (57%),14.65,2019,87
5,CIN-PIT,10.47,2019,88
0,NO-SEA (63%),22.46,2019,89
1,DEN-GB (32%);MIA-DAL (21%),18.66,2019,90
2,LAR-CLE,18.59,2019,91
3,BAL-KC (65%),13.66,2019,92
4,CHI-WSH,10.33,2019,93
5,TEN-JAX,6.32,2019,94
0,NO-LAR (81%),23.34,2019,95
1,PHI-ATL,17.64,2019,96
2,DAL-WSH (52%),16.09,2019,97
3,KC-OAK (32%);NE-MIA (24%),15.24,2019,98
4,CLE-NYJ,11.8,2019,99
5,TB-CAR,6.64,2019,100
0,NYG-DAL (85%),23.9,2019,101
1,PIT-NE,22.21,2019,102
2,GB-CHI,22.03,2019,103
3,TEN-CLE (27%);KC-JAX (27%),15.38,2019,104
4,HOU-NO,13.08,2019,105
5,WSH-PHI (39%),12.64,2019,106
6,DEN-OAK,10.62,2019,107
